"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency","State"
"34",11,"CT","FACTSET RESEARCH SYSTEMS INC",9,"Connecticut"
"35",11,"CT","FACTSET RESEARCH SYSTEM INC",8,"Connecticut"
"36",11,"DC","FINANCIAL INDUSTRY REGULATORY AUTHORITY, INC",7,"District of Columbia"
"37",11,"DC","RALLY HEALTH, INC",5,"District of Columbia"
"38",11,"DC","CAPSTONE LLC",3,"District of Columbia"
"39",11,"DC","MAPBOX, INC",3,"District of Columbia"
"40",11,"DC","PEOPLE FOR THE AMERICAN WAY FOUNDATION",3,"District of Columbia"
"41",11,"DE","ASTRAZENECA PHARMACEUTICALS LP",19,"Delaware"
"42",11,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC",14,"Delaware"
"43",11,"DE","FRASER GROUP, INC",4,"Delaware"
"44",11,"DE","BLACKDOT CONSULTING INC",3,"Delaware"
"45",11,"DE","ENVISION INFOSOLUTIONS INC",3,"Delaware"
"46",11,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",174,"Florida"
"47",11,"FL","SIEMENS ENERGY, INC",46,"Florida"
"48",11,"FL","CHEWY, INC",41,"Florida"
"49",11,"FL","PRICEWATERHOUSECOOPERS LLP",32,"Florida"
"50",11,"FL","KFORCE INC",22,"Florida"
"51",11,"GA","MANHATTAN ASSOCIATES, INC",86,"Georgia"
"52",11,"GA","HOME DEPOT PRODUCT AUTHORITY, LLC",13,"Georgia"
"53",11,"GA","EQUIFAX INC",11,"Georgia"
"54",11,"GA","INTERCONTINENTAL EXCHANGE HOLDINGS, INC",11,"Georgia"
"55",11,"GA","DELTA AIR LINES, INC",9,"Georgia"
"56",11,"HI","CENTRAL PACIFIC BANK",3,"Hawaii"
"57",11,"HI","EAST-WEST PHILANTHROPY FORUM",2,"Hawaii"
"58",11,"HI","ECOSHADE INC",2,"Hawaii"
"59",11,"HI","HAWAII PACIFIC AVIATION, INC",2,"Hawaii"
"60",11,"HI","OVER EASY LLC",2,"Hawaii"
"61",11,"IA","ROCKWELL COLLINS INC",10,"Iowa"
"62",11,"IA","HNI CORPORATION",4,"Iowa"
"63",11,"IA","DANFOSS POWER SOLUTIONS (US) COMPANY",2,"Iowa"
"64",11,"IA","LARSON CONSTRUCTION CO., INC",2,"Iowa"
"65",11,"IA","LUTHER COLLEGE",2,"Iowa"
"66",11,"ID","MICRON TECHNOLOGY, INC",16,"Idaho"
"67",11,"ID","MICRON SEMICONDUCTOR PRODUCTS, INC",3,"Idaho"
"68",11,"ID","CLEARWATER ANALYTICS, LLC",2,"Idaho"
"69",11,"ID","EETECH MEDIA LLC",2,"Idaho"
"70",11,"ID","BATTELLE ENERGY ALLIANCE, LLC",1,"Idaho"
"71",11,"IL","JPMORGAN CHASE CO",83,"Illinois"
"72",11,"IL","CAPGEMINI AMERICA INC",27,"Illinois"
"73",11,"IL","ACCENTURE LLP",24,"Illinois"
"74",11,"IL","CGN ASSOCIATES, INC",22,"Illinois"
"75",11,"IL","MOTOROLA SOLUTIONS, INC",22,"Illinois"
"76",11,"IN","ZIMMER, INC",16,"Indiana"
"77",11,"IN","ANTHEM, INC",14,"Indiana"
"78",11,"IN","INDIANA UNIVERSITY",6,"Indiana"
"79",11,"IN","ELI LILLY AND COMPANY",4,"Indiana"
"80",11,"IN","HILL-ROM COMPANY, INC",4,"Indiana"
"81",11,"KS","BLACK VEATCH CORPORATION",6,"Kansas"
"82",11,"KS","LION NATHAN USA INC",5,"Kansas"
"83",11,"KS","GEORGE CLINICAL, INC",4,"Kansas"
"84",11,"KS","PAYLESS SHOESOURCE WORLDWIDE, INC",3,"Kansas"
"85",11,"KS","TERRACON CONSULTANTS, INC",3,"Kansas"
"86",11,"KY","PIT BARREL COOKER CO., LLC",5,"Kentucky"
"87",11,"KY","HUMANA INC",4,"Kentucky"
"88",11,"KY","COLUMBIA SUSSEX MANAGEMENT LLC",3,"Kentucky"
"89",11,"KY","COLUMBIA SUSSEX MANAGEMENT, LLC",3,"Kentucky"
"90",11,"KY","GLOBAL IT SOLUTIONS, LLC",3,"Kentucky"
"91",11,"LA","TECHNOLOGY ASSOCIATES, INC",3,"Louisiana"
"92",11,"LA","ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND",2,"Louisiana"
"93",11,"LA","ENTERGY SERVICES, LLC",2,"Louisiana"
"94",11,"LA","IMPACT COOLING SOLUTIONS, LLC",2,"Louisiana"
"95",11,"LA","ORLEANS PARISH SCHOOL BOARD",2,"Louisiana"
"96",11,"MA","WAYFAIR LLC",67,"Massachusetts"
"97",11,"MA","VIRTUSA CORPORATION",51,"Massachusetts"
"98",11,"MA","MILLENNIUM PHARMACEUTICALS, INC",32,"Massachusetts"
"99",11,"MA","SAPIENT CORPORATION",29,"Massachusetts"
"100",11,"MA","ECLINICALWORKS LLC",22,"Massachusetts"
"101",11,"MD","UNIVERSITY OF MARYLAND BALTIMORE",8,"Maryland"
"102",11,"MD","JOHNS HOPKINS UNIVERSITY",6,"Maryland"
"103",11,"MD","FTI LLC",5,"Maryland"
"104",11,"MD","MARRIOTT INTERNATIONAL, INC",5,"Maryland"
"105",11,"MD","MERKLE, INC",5,"Maryland"
"106",11,"ME","THE JACKSON LABORATORY",3,"Maine"
"107",11,"ME","MAINE COLLEGE OF ART",2,"Maine"
"108",11,"ME","WEX INC",2,"Maine"
"109",11,"ME","BAKER NEWMAN NOYES P.A., LLC",1,"Maine"
"110",11,"ME","COLBY COLLEGE",1,"Maine"
"111",11,"MI","ATOS SYNTEL INC",33,"Michigan"
"112",11,"MI","WHIRLPOOL CORPORATION",30,"Michigan"
"113",11,"MI","HENRY FORD HEALTH SYSTEM",25,"Michigan"
"114",11,"MI","STRYKER CORPORATION",14,"Michigan"
"115",11,"MI","UNIVERSITY OF MICHIGAN",11,"Michigan"
"116",11,"MN","OPTUM SERVICES, INC",44,"Minnesota"
"117",11,"MN","MEDTRONIC, INC",18,"Minnesota"
"118",11,"MN","AMERIPRISE FINANCIAL, INC",17,"Minnesota"
"119",11,"MN","MAYO CLINIC",14,"Minnesota"
"120",11,"MN","TARGET ENTERPRISE, INC",13,"Minnesota"
"121",11,"MO","CHARTER COMMUNICATIONS, INC",14,"Missouri"
"122",11,"MO","MCCARTHY BUILDING COMPANIES, INC",7,"Missouri"
"123",11,"MO","TETRASOFT, INC",6,"Missouri"
"124",11,"MO","WORLD WIDE TECHNOLOGY HOLDING COMPANY, LLC",6,"Missouri"
"125",11,"MO","AMDOCS, INC",5,"Missouri"
"126",11,"MS","MISSISSIPPI STATE UNIVERSITY",3,"Mississippi"
"127",11,"MS","SYNERGY HOME FURNISHING, LLC",3,"Mississippi"
"128",11,"MS","JINDAL TUBULAR USA LLC",2,"Mississippi"
"129",11,"MS","BORGWARNER EMISSIONS SYSTEMS, LLC",1,"Mississippi"
"130",11,"MS","CAMPUSKNOT, INC",1,"Mississippi"
"131",11,"MT","EI HOLDINGS LLC",2,"Montana"
"132",11,"MT","GARNET USA LLC",1,"Montana"
"133",11,"MT","GARNET USA, LLC",1,"Montana"
"134",11,"MT","TINTINA MONTANA INC",1,"Montana"
"135",11,"NC","HONEYWELL INTERNATIONAL INC",23,"North Carolina"
"136",11,"NC","LEND LEASE US SERVICES INC",22,"North Carolina"
"137",11,"NC","LOWE'S COMPANIES, INC",18,"North Carolina"
"138",11,"NC","IBM CORPORATION",16,"North Carolina"
"139",11,"NC","INTERNATIONAL BUSINESS MACHINES CORPORATION",14,"North Carolina"
"140",11,"ND","ION FIELD SERVICES LLC",3,"North Dakota"
"141",11,"ND","BORDER STATES INDUSTRIES, INC",2,"North Dakota"
"142",11,"ND","DAKOTA WEST CREDIT UNION",1,"North Dakota"
"143",11,"ND","J J CORP",1,"North Dakota"
"144",11,"ND","PROFESSIONAL ADVANTAGE SOFTWARE SOLUTIONS, INC",1,"North Dakota"
"145",11,"NE","PROKARMA, INC",12,"Nebraska"
"146",11,"NE","BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA",6,"Nebraska"
"147",11,"NE","TIC THE INDUSTRIAL COMPANY",3,"Nebraska"
"148",11,"NE","AGILE SPORTS TECHNOLOGIES, INC",2,"Nebraska"
"149",11,"NE","COSMOS INFRASTRUCTURE LLC",2,"Nebraska"
"150",11,"NH","AMADEUS HOSPITALITY AMERICAS, INC",2,"New Hampshire"
"151",11,"NH","BOSTON ANALYTICAL, INC",2,"New Hampshire"
"152",11,"NH","CATHOLIC MEDICAL CENTER PHYSICIAN PRACTICE ASSOCIATES",2,"New Hampshire"
"153",11,"NH","COCA-COLA BEVERAGES NORTHEAST, INC",2,"New Hampshire"
"154",11,"NH","TOMTOM NORTH AMERICA, INC",2,"New Hampshire"
"155",11,"NJ","ERNST YOUNG U.S. LLP",152,"New Jersey"
"156",11,"NJ","TECH MAHINDRA (AMERICAS), INC",69,"New Jersey"
"157",11,"NJ","GOLDMAN SACHS CO. LLC",66,"New Jersey"
"158",11,"NJ","GOLDMAN SACHS SERVICES LLC",37,"New Jersey"
"159",11,"NJ","LARSEN TOUBRO INFOTECH LIMITED",28,"New Jersey"
"160",11,"NM","SPERIDIAN TECHNOLOGIES, LLC",5,"New Mexico"
"161",11,"NM","MCKINLEY PAPER COMPANY",3,"New Mexico"
"162",11,"NM","BAYWA R.E. SOLAR SYSTEMS, LLC",2,"New Mexico"
"163",11,"NM","NMC INC",2,"New Mexico"
"164",11,"NM","PRESBYTERIAN HEALTHCARE SERVICES",2,"New Mexico"
"165",11,"NV","ARISTOCRAT TECHNOLOGIES, INC",10,"Nevada"
"166",11,"NV","JETTI SERVICES LLC",4,"Nevada"
"167",11,"NV","FAMILY CARE HOME HEALTH HOSPICE LLC",3,"Nevada"
"168",11,"NV","MARTIN HARRIS CONSTRUCTION LLC",3,"Nevada"
"169",11,"NV","THE PENTA BUILDING GROUP, LLC",3,"Nevada"
"170",11,"NY","BLOOMBERG L.P",87,"New York"
"171",11,"NY","CITIBANK, N.A",71,"New York"
"172",11,"NY","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC",33,"New York"
"173",11,"NY","MASTERCARD INTERNATIONAL INCORPORATED",28,"New York"
"174",11,"NY","MORGAN STANLEY SERVICES GROUP INC",25,"New York"
"175",11,"OH","CARESOURCE MANAGEMENT SERVICES LLC",9,"Ohio"
"176",11,"OH","CARDINAL HEALTH",7,"Ohio"
"177",11,"OH","BENDIX COMMERCIAL VEHICLE SYSTEMS LLC",6,"Ohio"
"178",11,"OH","KLARNA INC",5,"Ohio"
"179",11,"OH","CENTRAL MUTUAL INSURANCE COMPANY",4,"Ohio"
"180",11,"OK","STONEBRIDGE ACQUISITION D/B/A CLOUDACTION",5,"Oklahoma"
"181",11,"OK","SERCEL-GRC CORP",3,"Oklahoma"
"182",11,"OK","TEK LEADERS INC",3,"Oklahoma"
"183",11,"OK","THRU TUBING SOLUTIONS, INC",3,"Oklahoma"
"184",11,"OK","APMEX, INC",2,"Oklahoma"
"185",11,"OR","NIKE, INC",55,"Oregon"
"186",11,"OR","MENTOR GRAPHICS CORPORATION",15,"Oregon"
"187",11,"OR","ADIDAS AMERICA, INC",7,"Oregon"
"188",11,"OR","NIKE USA, INC",4,"Oregon"
"189",11,"OR","OREGON HEALTH SCIENCE UNIVERSITY",4,"Oregon"
"190",11,"PA","DELOITTE CONSULTING LLP",1019,"Pennsylvania"
"191",11,"PA","COMCAST CABLE COMMUNICATIONS, LLC",74,"Pennsylvania"
"192",11,"PA","DELOITTE TOUCHE LLP",38,"Pennsylvania"
"193",11,"PA","CIGNA HEALTH LIFE INSURANCE COMPANY",23,"Pennsylvania"
"194",11,"PA","TE CONNECTIVITY CORPORATION",21,"Pennsylvania"
"195",11,"RI","CVS PHARMACY, INC",12,"Rhode Island"
"196",11,"RI","CITIZENS FINANCIAL GROUP, INC",5,"Rhode Island"
"197",11,"RI","AETNA RESOURCES LLC",4,"Rhode Island"
"198",11,"RI","SENESCO MARINE, LLC",3,"Rhode Island"
"199",11,"RI","BROWN UNIVERSITY",2,"Rhode Island"
"200",11,"SC","WISSENIT INC",5,"South Carolina"
"201",11,"SC","CLOUD HUB IT SOLUTIONS INC",2,"South Carolina"
"202",11,"SC","GREYSTAR MANAGEMENT SERVICES, LP",2,"South Carolina"
"203",11,"SC","HUTCHISON TECHNOLOGY LLC",2,"South Carolina"
"204",11,"SC","MEKRA LANG NORTH AMERICA, LLC",2,"South Carolina"
"205",11,"SD","AVALON CAPITAL GROUP, INC",2,"South Dakota"
"206",11,"SD","JUST KIDDING CHILD CARE CENTER, INC",2,"South Dakota"
"207",11,"SD","MONUMENT HEALTH RAPID CITY HOSPITAL, INC",1,"South Dakota"
"208",11,"SD","SONIFI SOLUTIONS, INC",1,"South Dakota"
"209",11,"TN","CUMMINS INC",67,"Tennessee"
"210",11,"TN","UBS BUSINESS SOLUTIONS US LLC",13,"Tennessee"
"211",11,"TN","INTERNATIONAL PAPER",9,"Tennessee"
"212",11,"TN","FEDEX CORPORATE SERVICES, INC",8,"Tennessee"
"213",11,"TN","GEODIS LOGISTICS, LLC",8,"Tennessee"
"214",11,"TX","KPMG LLP",79,"Texas"
"215",11,"TX","TEXAS INSTRUMENTS INCORPORATED",38,"Texas"
"216",11,"TX","ERICSSON INC",31,"Texas"
"217",11,"TX","FUJITSU AMERICA, INC",23,"Texas"
"218",11,"TX","CB&I, LLC",21,"Texas"
"219",11,"UT","OVERSTOCK.COM, INC",9,"Utah"
"220",11,"UT","IHC HEALTH SERVICES, INC",7,"Utah"
"221",11,"UT","GENESYS TELECOMMUNICATIONS LABORATORIES, INC",6,"Utah"
"222",11,"UT","ALLY BANK",4,"Utah"
"223",11,"UT","FINICITY CORPORATION",4,"Utah"
"224",11,"VA","AECOM TECHNICAL SERVICES, INC",26,"Virginia"
"225",11,"VA","HILTON DOMESTIC OPERATING COMPANY, INC",14,"Virginia"
"226",11,"VA","CGI TECHNOLOGIES AND SOLUTIONS INC",13,"Virginia"
"227",11,"VA","SYSTEM SOFT TECHNOLOGIES, LLC",9,"Virginia"
"228",11,"VA","THE NATURE CONSERVANCY",9,"Virginia"
"229",11,"VT","ITECH US, INC",3,"Vermont"
"230",11,"VT","FLEX-A-SEAL, INC",2,"Vermont"
"231",11,"VT","VERMONT LAW SCHOOL",2,"Vermont"
"232",11,"VT","CATAMOUNT FILM AND ARTS CO",1,"Vermont"
"233",11,"VT","LABORIE MEDICAL TECHNOLOGIES CORP",1,"Vermont"
"234",11,"WA","AMAZON.COM SERVICES LLC",1449,"Washington"
"235",11,"WA","AMAZON.COM SERVICES, INC",263,"Washington"
"236",11,"WA","AMAZON WEB SERVICES, INC",147,"Washington"
"237",11,"WA","EXPEDIA, INC",102,"Washington"
"238",11,"WA","AMAZON WEB SERVICES INC",77,"Washington"
"239",11,"WI","JOHNSON CONTROLS, INC",20,"Wisconsin"
"240",11,"WI","FISERV SOLUTIONS, LLC",13,"Wisconsin"
"241",11,"WI","WISDOM INFOTECH",11,"Wisconsin"
"242",11,"WI","EPIC SYSTEMS CORPORATION",9,"Wisconsin"
"243",11,"WI","NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY",6,"Wisconsin"
"244",11,"WV","PRACTICELINK, LTD",3,"West Virginia"
"245",11,"WV","HQ AERO MANAGEMENT (US) INC",1,"West Virginia"
"246",11,"WV","MYLAN PHARMACEUTICALS INC",1,"West Virginia"
"247",11,"WV","NEW TRINITY COAL, INC",1,"West Virginia"
"248",11,"WV","WEST VIRGINIA UNIVERSITY HOSPITALS, INC",1,"West Virginia"
"249",11,"WY","BENI RIQUEZA SUPER FUND INC",3,"Wyoming"
"250",11,"WY","AUSTIN ENGINEERING USA SERVICES INC",1,"Wyoming"
"251",11,"WY","FIRE FRIENDS LLC",1,"Wyoming"
"252",11,"WY","FIRST CONTACT (NORTH AMERICA)",1,"Wyoming"
"253",11,"WY","HOTEL JH LLC",1,"Wyoming"
"254",13,"AK","MCKINLEY CAPITAL MANAGEMENT, LLC",3,"Alaska"
"255",13,"AK","SAI INVESTMENTS LLC",3,"Alaska"
"256",13,"AK","CHUGACH ALASKA SERVICES, LLC",2,"Alaska"
"257",13,"AK","BASSLER REDICK CPAS, LLC",1,"Alaska"
"258",13,"AK","OIL SEARCH (ALASKA), LLC",1,"Alaska"
"259",13,"AL","REGIONS BANK",11,"Alabama"
"260",13,"AL","HYUNDAI POWER TRANSFORMERS USA, INC",8,"Alabama"
"261",13,"AL","BBVA USA",5,"Alabama"
"262",13,"AL","CARR, RIGGS INGRAM, LLC",5,"Alabama"
"263",13,"AL","THE UNIVERSITY OF ALABAMA",5,"Alabama"
"264",13,"AR","WAL-MART ASSOCIATES, INC",28,"Arkansas"
"265",13,"AR","SIMMONS PREPARED FOODS, INC",4,"Arkansas"
"266",13,"AR","HARCO CONSTRUCTORS, LLC",2,"Arkansas"
"267",13,"AR","INVINCIBLE TECH SYSTEMS INC",2,"Arkansas"
"268",13,"AR","MCLARTY COMPANIES INC",2,"Arkansas"
"269",13,"AZ","WELLS FARGO BANK, N.A",114,"Arizona"
"270",13,"AZ","KATERRA, INC",8,"Arizona"
"271",13,"AZ","SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",6,"Arizona"
"272",13,"AZ","SHAMROCK FOODS COMPANY",5,"Arizona"
"273",13,"AZ","ASML US LLC",4,"Arizona"
"274",13,"CA","GOOGLE LLC",632,"California"
"275",13,"CA","UBER TECHNOLOGIES, INC",165,"California"
"276",13,"CA","FACEBOOK, INC",110,"California"
"277",13,"CA","TESLA, INC",75,"California"
"278",13,"CA","APPLE INC",68,"California"
"279",13,"CO","HP INC",30,"Colorado"
"280",13,"CO","CHARLES SCHWAB AND COMPANY, INC",14,"Colorado"
"281",13,"CO","ROCKY MOUNTAIN INSTITUTE, INC",12,"Colorado"
"282",13,"CO","PB TECH ADVISORY LLC",6,"Colorado"
"283",13,"CO","SWIFT BEEF COMPANY, JBS USA SUBSIDIARY",4,"Colorado"
"284",13,"CT","BRIDGEWATER ASSOCIATES, LP",50,"Connecticut"
"285",13,"CT","AQR CAPITAL MANAGEMENT, LLC",31,"Connecticut"
"286",13,"CT","POINT72, L.P",16,"Connecticut"
"287",13,"CT","GARTNER, INC",12,"Connecticut"
"288",13,"CT","SYNCHRONY BANK",12,"Connecticut"
"289",13,"DC","HAN GROUP LLC",11,"District of Columbia"
"290",13,"DC","THE CARLYLE GROUP EMPLOYEE CO., LLC",9,"District of Columbia"
"291",13,"DC","EDUCATION BUSINESS SOLUTIONS, INC. (DBA EDOPS)",6,"District of Columbia"
"292",13,"DC","BAIN COMPANY DC, LLC",5,"District of Columbia"
"293",13,"DC","FEDERAL NATIONAL MORTGAGE ASSOCIATION",5,"District of Columbia"
"294",13,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC",327,"Delaware"
"295",13,"DE","THE SIEGFRIED GROUP LLP",54,"Delaware"
"296",13,"DE","BLACKROCK INVESTMENT MANAGEMENT, LLC",31,"Delaware"
"297",13,"DE","BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A",26,"Delaware"
"298",13,"DE","BLACKROCK CORPORATION US, INC",22,"Delaware"
"299",13,"FL","PRICEWATERHOUSECOOPERS LLP",639,"Florida"
"300",13,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",176,"Florida"
"301",13,"FL","SIEMENS ENERGY, INC",16,"Florida"
"302",13,"FL","BAYVIEW ASSET MANAGEMENT, LLC",11,"Florida"
"303",13,"FL","ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP",7,"Florida"
"304",13,"GA","S2 IT GROUP LLC",29,"Georgia"
"305",13,"GA","KNAV P.A",14,"Georgia"
"306",13,"GA","INTERCONTINENTAL EXCHANGE HOLDINGS, INC",12,"Georgia"
"307",13,"GA","HOME DEPOT PRODUCT AUTHORITY, LLC",10,"Georgia"
"308",13,"GA","ICE DATA ANALYTICS, LLC",10,"Georgia"
"309",13,"HI","GOODWILL INDUSTRIES OF HAWAII, INC",2,"Hawaii"
"310",13,"HI","PREMKAMAL SPAS LLC",2,"Hawaii"
"311",13,"HI","A-AMERICAN CUSTOM FLOORING, INC",1,"Hawaii"
"312",13,"HI","BANK OF HAWAII",1,"Hawaii"
"313",13,"HI","HEALTHY'S INC",1,"Hawaii"
"314",13,"IA","TRANSAMERICA LIFE INSURANCE COMPANY",16,"Iowa"
"315",13,"IA","AMERICAN TECHNOLOGY CONSULTING, LLC",9,"Iowa"
"316",13,"IA","FEDERAL HOME LOAN BANK OF DES MOINES",9,"Iowa"
"317",13,"IA","COMMUNITY CPA ASSOCIATES INC",5,"Iowa"
"318",13,"IA","AEGON USA REALTY ADVISORS, LLC",4,"Iowa"
"319",13,"ID","MICRON TECHNOLOGY, INC",22,"Idaho"
"320",13,"ID","CLEARWATER ANALYTICS, LLC",6,"Idaho"
"321",13,"ID","BOISE STATE UNIVERSITY",1,"Idaho"
"322",13,"ID","COVR FINANCIAL TECHNOLOGIES, INC",1,"Idaho"
"323",13,"ID","MELALEUCA, INC",1,"Idaho"
"324",13,"IL","JPMORGAN CHASE CO",463,"Illinois"
"325",13,"IL","ACCENTURE LLP",267,"Illinois"
"326",13,"IL","BDO USA, LLP",200,"Illinois"
"327",13,"IL","CAPGEMINI AMERICA INC",114,"Illinois"
"328",13,"IL","RSM US LLP",75,"Illinois"
"329",13,"IN","ZIMMER, INC",25,"Indiana"
"330",13,"IN","ANTHEM, INC",8,"Indiana"
"331",13,"IN","UNIVERSITY OF NOTRE DAME DU LAC",8,"Indiana"
"332",13,"IN","ONEMAIN GENERAL SERVICES CORPORATION",7,"Indiana"
"333",13,"IN","ZIMMER US, INC",5,"Indiana"
"334",13,"KS","BLACK VEATCH MANAGEMENT CONSULTING, LLC",6,"Kansas"
"335",13,"KS","SECURITY BENEFIT CORPORATION",6,"Kansas"
"336",13,"KS","SPRINT CORPORATION",4,"Kansas"
"337",13,"KS","HOME CREDIT US, LLC",3,"Kansas"
"338",13,"KS","CURO MANAGEMENT, LLC",2,"Kansas"
"339",13,"KY","HUMANA INSURANCE COMPANY",3,"Kentucky"
"340",13,"KY","HAIER US APPLIANCE SOLUTIONS INC",2,"Kentucky"
"341",13,"KY","HITACHI AUTOMOTIVE SYSTEMS AMERICAS, INC",2,"Kentucky"
"342",13,"KY","MCM CPAS ADVISORS LLP",2,"Kentucky"
"343",13,"KY","PRYSMIAN CABLES AND SYSTEMS USA LLC",2,"Kentucky"
"344",13,"LA","AFS LOGISTICS, LLC",2,"Louisiana"
"345",13,"LA","INTRALOX, L.L.C",2,"Louisiana"
"346",13,"LA","KUCHEROV GLOBAL SOLUTIONS LLC",2,"Louisiana"
"347",13,"LA","LSU AGRICULTURAL CENTER",2,"Louisiana"
"348",13,"LA","OCHSNER CLINIC FOUNDATION",2,"Louisiana"
"349",13,"MA","THE BOSTON CONSULTING GROUP, INC",368,"Massachusetts"
"350",13,"MA","BAIN COMPANY, INC",62,"Massachusetts"
"351",13,"MA","STATE STREET BANK AND TRUST COMPANY",58,"Massachusetts"
"352",13,"MA","SIMON-KUCHER PARTNERS STRATEGY MARKETING CONSULTANTS LLC",32,"Massachusetts"
"353",13,"MA","WAYFAIR LLC",31,"Massachusetts"
"354",13,"MD","TATA CONSULTANCY SERVICES LIMITED",18,"Maryland"
"355",13,"MD","FTI LLC",13,"Maryland"
"356",13,"MD","EASTLAND FOOD CORPORATION",10,"Maryland"
"357",13,"MD","MARRIOTT INTERNATIONAL, INC",9,"Maryland"
"358",13,"MD","BILL ME LATER, INC",8,"Maryland"
"359",13,"ME","FAST EASY LIFE, LLC",2,"Maine"
"360",13,"ME","WEX, INC",2,"Maine"
"361",13,"ME","CARY MEDICAL CENTER",1,"Maine"
"362",13,"ME","FHC, INC",1,"Maine"
"363",13,"ME","HUSSEY AND SONS HOME MAINTENANCE LLC",1,"Maine"
"364",13,"MI","ALIXPARTNERS, LLP",59,"Michigan"
"365",13,"MI","CIBER GLOBAL LLC",30,"Michigan"
"366",13,"MI","GENERAL MOTORS COMPANY",19,"Michigan"
"367",13,"MI","POPULUS GROUP LLC",19,"Michigan"
"368",13,"MI","EPITEC, INC",18,"Michigan"
"369",13,"MN","MEDTRONIC, INC",26,"Minnesota"
"370",13,"MN","RBC CAPITAL MARKETS LLC",14,"Minnesota"
"371",13,"MN","OPTUM SERVICES, INC",12,"Minnesota"
"372",13,"MN","TARGET ENTERPRISE, INC",12,"Minnesota"
"373",13,"MN","COVIDIEN LP",9,"Minnesota"
"374",13,"MO","MISSOURI STATE UNIVERSITY",5,"Missouri"
"375",13,"MO","CHARTER COMMUNICATIONS, INC",4,"Missouri"
"376",13,"MO","EXPRESS SCRIPTS SERVICES CO",4,"Missouri"
"377",13,"MO","NESTLE REGIONAL GLOBE OFFICE NORTH AMERICA, INC",4,"Missouri"
"378",13,"MO","BELDEN INC",3,"Missouri"
"379",13,"MS","MEDICAL MARKETING ECONOMICS, LLC",3,"Mississippi"
"380",13,"MS","HORNE LLP",2,"Mississippi"
"381",13,"MS","J SHANNON LUMBER COMPANY INC",1,"Mississippi"
"382",13,"MS","JINDAL TUBULAR USA LLC",1,"Mississippi"
"383",13,"MS","MEDICAL MARKETING ECONOMICS LLC",1,"Mississippi"
"384",13,"MT","D.A. DAVIDSON CO",2,"Montana"
"385",13,"MT","AGE OF MONTESSORI, INC",1,"Montana"
